id,Geographic Area Name,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,Percent!!LANGUAGE SPOKEN AT HOME!!Population 5 years and over!!English only,Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,county_name,state
0500000US06105,"Trinity County, California",19.5,10.9,91.4,53.3,Trinity County, California
0500000US06107,"Tulare County, California",14.6,4.6,48.7,65.9,Tulare County, California
0500000US06109,"Tuolumne County, California",20.5,11.5,92.1,32.9,Tuolumne County, California
0500000US06111,"Ventura County, California",33.8,6.1,61.6,50.1,Ventura County, California
0500000US06113,"Yolo County, California",41.4,4.5,62.0,54.2,Yolo County, California
0500000US06115,"Yuba County, California",17.1,10.9,74.7,45.2,Yuba County, California
0500000US08001,"Adams County, Colorado",24.3,7.3,71.0,63.1,Adams County, Colorado
0500000US08003,"Alamosa County, Colorado",25.0,6.5,69.9,57.0,Alamosa County, Colorado
0500000US08005,"Arapahoe County, Colorado",42.8,8.0,76.6,55.6,Arapahoe County, Colorado
0500000US08007,"Archuleta County, Colorado",37.2,11.5,91.3,40.6,Archuleta County, Colorado
0500000US08009,"Baca County, Colorado",21.4,8.0,92.6,72.2,Baca County, Colorado
0500000US08011,"Bent County, Colorado",11.4,8.7,87.6,74.6,Bent County, Colorado
0500000US08013,"Boulder County, Colorado",62.1,5.3,84.3,57.4,Boulder County, Colorado
0500000US08014,"Broomfield County, Colorado",55.7,8.0,87.8,41.0,Broomfield County, Colorado
0500000US08015,"Chaffee County, Colorado",33.8,10.6,93.2,44.8,Chaffee County, Colorado
0500000US08017,"Cheyenne County, Colorado",19.2,7.5,84.5,71.0,Cheyenne County, Colorado
0500000US08019,"Clear Creek County, Colorado",48.1,7.9,93.3,61.0,Clear Creek County, Colorado
0500000US08021,"Conejos County, Colorado",21.0,9.1,70.5,51.7,Conejos County, Colorado
0500000US08023,"Costilla County, Colorado",19.3,13.3,56.5,58.0,Costilla County, Colorado
0500000US08025,"Crowley County, Colorado",9.0,8.7,88.9,88.4,Crowley County, Colorado
0500000US08027,"Custer County, Colorado",32.5,17.7,94.4,14.8,Custer County, Colorado
0500000US08029,"Delta County, Colorado",21.7,12.4,90.4,47.2,Delta County, Colorado
0500000US08031,"Denver County, Colorado",49.4,5.2,74.5,61.3,Denver County, Colorado
0500000US08033,"Dolores County, Colorado",24.1,12.7,97.3,63.6,Dolores County, Colorado
0500000US08035,"Douglas County, Colorado",58.0,8.2,90.5,44.9,Douglas County, Colorado
0500000US08037,"Eagle County, Colorado",47.2,4.7,71.2,71.2,Eagle County, Colorado
0500000US08039,"Elbert County, Colorado",35.8,11.9,95.5,52.4,Elbert County, Colorado
0500000US08041,"El Paso County, Colorado",38.5,16.9,88.1,45.5,El Paso County, Colorado
0500000US08043,"Fremont County, Colorado",18.5,13.7,93.0,51.2,Fremont County, Colorado
0500000US08045,"Garfield County, Colorado",31.0,6.2,73.4,73.4,Garfield County, Colorado
