id,Geographic Area Name,Percent!!SEX AND AGE!!Total population,Percent!!RACE!!Total population!!One race!!White,Percent!!RACE!!Total population!!One race!!Black or African American,Percent!!RACE!!Total population!!One race!!Asian,Percent!!HISPANIC OR LATINO AND RACE!!Total population,gen_z,gen_y,gen_x,baby_boomer,silent_gen,county_name,state
0500000US17005,"Bond County, Illinois",16589,90.9,7.6,0.4,16589,13.8,12.0,26.0,24.700000000000003,8.1,Bond County, Illinois
0500000US17007,"Boone County, Illinois",53537,87.5,2.2,1.2,53537,14.5,10.7,26.9,21.5,6.1,Boone County, Illinois
0500000US17009,"Brown County, Illinois",6628,79.4,19.2,0.0,6628,11.6,16.7,30.1,19.9,6.8,Brown County, Illinois
0500000US17011,"Bureau County, Illinois",33122,93.4,1.1,0.9,33122,11.5,10.6,24.4,26.4,10.0,Bureau County, Illinois
0500000US17013,"Calhoun County, Illinois",4830,97.7,0.3,0.9,4830,10.5,9.3,24.0,28.0,10.899999999999999,Calhoun County, Illinois
0500000US17015,"Carroll County, Illinois",14466,96.0,1.2,0.8,14466,10.4,10.2,22.5,30.299999999999997,10.7,Carroll County, Illinois
0500000US17017,"Cass County, Illinois",12493,88.5,5.2,0.4,12493,11.7,12.5,25.1,22.400000000000002,7.9,Cass County, Illinois
0500000US17019,"Champaign County, Illinois",209922,71.8,13.5,10.8,209922,26.299999999999997,14.5,20.700000000000003,17.8,5.2,Champaign County, Illinois
0500000US17021,"Christian County, Illinois",32931,96.5,1.3,0.6,32931,11.3,11.8,26.0,24.9,9.1,Christian County, Illinois
0500000US17023,"Clark County, Illinois",15716,96.8,0.7,0.6,15716,11.600000000000001,11.2,24.700000000000003,24.9,8.9,Clark County, Illinois
0500000US17025,"Clay County, Illinois",13287,96.2,0.8,0.3,13287,11.3,11.3,24.200000000000003,25.9,8.9,Clay County, Illinois
0500000US17027,"Clinton County, Illinois",37634,93.7,3.4,0.6,37634,11.6,13.0,26.9,23.5,7.6,Clinton County, Illinois
0500000US17029,"Coles County, Illinois",51353,92.9,3.9,1.2,51353,20.8,13.3,21.5,22.0,7.4,Coles County, Illinois
0500000US17031,"Cook County, Illinois",5198275,56.7,23.4,7.3,5198275,12.6,16.3,26.2,20.4,6.199999999999999,Cook County, Illinois
0500000US17033,"Crawford County, Illinois",18972,90.2,6.5,0.3,18972,11.1,13.6,26.0,24.599999999999998,8.6,Crawford County, Illinois
0500000US17035,"Cumberland County, Illinois",10836,97.3,0.1,0.4,10836,10.5,11.6,24.5,25.7,8.5,Cumberland County, Illinois
0500000US17037,"DeKalb County, Illinois",104366,84.0,7.9,2.3,104366,23.299999999999997,13.4,22.2,18.200000000000003,5.1,DeKalb County, Illinois
0500000US17039,"De Witt County, Illinois",15932,96.1,0.5,0.0,15932,11.1,11.4,25.799999999999997,26.1,8.2,De Witt County, Illinois
0500000US17041,"Douglas County, Illinois",19623,95.8,0.7,0.7,19623,12.600000000000001,12.5,23.2,22.799999999999997,8.3,Douglas County, Illinois
0500000US17043,"DuPage County, Illinois",929060,76.8,4.8,11.9,929060,12.8,12.7,26.8,22.9,6.1,DuPage County, Illinois
0500000US17045,"Edgar County, Illinois",17407,98.9,0.3,0.2,17407,10.8,10.9,24.4,27.7,9.7,Edgar County, Illinois
0500000US17047,"Edwards County, Illinois",6455,96.8,0.9,0.3,6455,11.4,10.1,24.4,26.1,9.399999999999999,Edwards County, Illinois
0500000US17049,"Effingham County, Illinois",34137,97.0,0.7,0.5,34137,11.7,13.3,23.8,23.6,7.9,Effingham County, Illinois
0500000US17051,"Fayette County, Illinois",21565,93.9,4.7,0.5,21565,12.100000000000001,12.5,25.4,24.4,8.600000000000001,Fayette County, Illinois
