id,Geographic Area Name,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",Estimate!!INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars),Percent!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage,county_name,state
0500000US48463,"Uvalde County, Texas",22.7,21.9,24.0,18.3,13.1,23822.0,17.3,Uvalde County, Texas
0500000US48465,"Val Verde County, Texas",24.2,22.7,22.3,14.2,16.6,25516.0,18.0,Val Verde County, Texas
0500000US48467,"Van Zandt County, Texas",30.7,18.3,21.8,15.4,13.7,31916.0,18.1,Van Zandt County, Texas
0500000US48469,"Victoria County, Texas",31.0,18.7,22.5,12.3,15.5,31072.0,16.8,Victoria County, Texas
0500000US48471,"Walker County, Texas",30.2,27.8,20.2,9.3,12.5,27041.0,13.3,Walker County, Texas
0500000US48473,"Waller County, Texas",28.5,19.2,24.2,14.2,13.9,28697.0,20.3,Waller County, Texas
0500000US48475,"Ward County, Texas",27.6,14.1,18.6,20.1,19.5,39710.0,19.1,Ward County, Texas
0500000US48477,"Washington County, Texas",34.4,15.6,20.3,15.1,14.6,31112.0,11.6,Washington County, Texas
0500000US48479,"Webb County, Texas",26.8,22.5,26.2,10.4,14.1,25521.0,27.7,Webb County, Texas
0500000US48481,"Wharton County, Texas",26.4,17.0,21.5,18.0,17.1,31135.0,18.8,Wharton County, Texas
0500000US48483,"Wheeler County, Texas",24.8,20.6,26.2,18.0,10.4,29821.0,19.1,Wheeler County, Texas
0500000US48485,"Wichita County, Texas",33.0,20.7,20.6,11.5,14.3,26927.0,14.1,Wichita County, Texas
0500000US48487,"Wilbarger County, Texas",27.7,28.0,17.9,11.2,15.2,27984.0,14.7,Wilbarger County, Texas
0500000US48489,"Willacy County, Texas",19.6,26.2,22.0,18.4,13.9,21697.0,27.6,Willacy County, Texas
0500000US48491,"Williamson County, Texas",46.4,14.1,23.6,7.1,8.7,42030.0,9.3,Williamson County, Texas
0500000US48493,"Wilson County, Texas",32.7,17.0,22.0,14.6,13.7,38792.0,12.9,Wilson County, Texas
0500000US48495,"Winkler County, Texas",19.8,22.0,17.4,18.0,22.8,38020.0,20.7,Winkler County, Texas
0500000US48497,"Wise County, Texas",28.9,16.3,21.6,14.4,18.9,33993.0,17.9,Wise County, Texas
0500000US48499,"Wood County, Texas",29.3,15.2,23.3,15.7,16.5,30806.0,13.1,Wood County, Texas
0500000US48501,"Yoakum County, Texas",24.2,14.8,15.0,31.5,14.5,39905.0,27.9,Yoakum County, Texas
0500000US48503,"Young County, Texas",29.3,18.9,18.4,17.4,15.9,32434.0,19.4,Young County, Texas
0500000US48505,"Zapata County, Texas",19.2,26.6,15.4,20.0,18.8,21689.0,28.5,Zapata County, Texas
0500000US48507,"Zavala County, Texas",28.0,19.8,20.7,16.3,15.2,20256.0,16.0,Zavala County, Texas
0500000US49001,"Beaver County, Utah",28.6,13.8,21.2,22.0,14.5,33870.0,12.7,Beaver County, Utah
0500000US49003,"Box Elder County, Utah",32.2,14.9,18.7,12.0,22.1,31464.0,7.6,Box Elder County, Utah
0500000US49005,"Cache County, Utah",38.6,16.7,21.0,7.7,15.9,23470.0,6.6,Cache County, Utah
0500000US49007,"Carbon County, Utah",28.6,18.6,22.8,16.3,13.7,26250.0,9.5,Carbon County, Utah
0500000US49009,"Daggett County, Utah",24.1,32.6,8.1,11.1,24.1,31667.0,2.3,Daggett County, Utah
0500000US49011,"Davis County, Utah",42.0,13.4,24.1,8.0,12.6,36114.0,6.5,Davis County, Utah
0500000US49013,"Duchesne County, Utah",32.8,14.3,18.1,17.6,17.2,36216.0,13.5,Duchesne County, Utah
0500000US49015,"Emery County, Utah",32.1,19.6,17.3,17.6,13.5,32356.0,7.7,Emery County, Utah
0500000US49017,"Garfield County, Utah",29.1,27.6,23.1,12.9,7.4,24443.0,15.8,Garfield County, Utah
0500000US49019,"Grand County, Utah",27.3,35.9,18.4,9.6,8.7,26491.0,17.1,Grand County, Utah
0500000US49021,"Iron County, Utah",32.7,21.5,22.3,11.7,11.8,25105.0,11.2,Iron County, Utah
0500000US49023,"Juab County, Utah",30.3,17.4,18.1,15.8,18.4,29252.0,11.8,Juab County, Utah
0500000US49025,"Kane County, Utah",34.1,27.5,24.4,5.7,8.2,25878.0,13.7,Kane County, Utah
0500000US49027,"Millard County, Utah",30.0,16.6,18.2,18.9,16.3,29272.0,13.5,Millard County, Utah
0500000US49029,"Morgan County, Utah",46.0,14.3,18.3,11.5,9.8,40356.0,5.9,Morgan County, Utah
0500000US49031,"Piute County, Utah",41.4,11.1,18.5,18.2,10.8,21691.0,19.7,Piute County, Utah
0500000US49033,"Rich County, Utah",23.7,11.9,32.5,16.6,15.3,32418.0,10.9,Rich County, Utah
0500000US49035,"Salt Lake County, Utah",40.1,14.5,24.3,8.1,13.0,35230.0,10.5,Salt Lake County, Utah
